id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordedByID,associatedCollectors,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,host,verbatimAttributes,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,samplingEffort,preparations,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collId,recordId,references
7729665,NY,NY,,PreservedSpecimen,7fa69181-19ac-4f84-a6eb-66a090dcb519,3407552,,Fungi,Fungi Incertae Sedis,Pucciniomycetes,Pucciniales,Pucciniaceae,Puccinia liliacearum,188324,Duby,Puccinia,liliacearum,,,,,,,,,,C. T. Rogerson,,,s.n.,4/30/1971,1971,4,30,12,12,30-Apr-71,,,,,,,,,,,,,,,,,,,packeted,United States of America,New York,Bronx Co.,,"woods, opposite Woodlawn Cemetery entrance in Van Cortlandt Park, north of Golf Course",,0,,40.892523,-73.874699,WGS84,1512,,,"Georeferencing Quick Reference Guide, Version 2012",Google Maps (map data 2019); Manis Georef. Calculator,,,,,,,,,,en,,2/9/2021 9:32,7fa69181-19ac-4f84-a6eb-66a090dcb519,3,urn:uuid:5fa7c187-d731-4f77-8450-f98df7d2788f,https://mycoportal.org:443/portal/collections/individual/index.php?occid=7729665
3460164,PUR,,,PreservedSpecimen,,,63893,Fungi,Fungi Incertae Sedis,Pucciniomycetes,Pucciniales,Pucciniaceae,Puccinia liliacearum,188324,Duby,Puccinia,liliacearum,,,,,,,,,,C. T. Rogerson,,,,5/1/1971,1971,5,1,121,,,,,,Ornithogalum umbellatum,,,,,,,,,,,,,,,,United States,New York,Bronx,,"S side of parking lot, at Botanical Garden Railroad Station, W of main entrance to The New York Botanical Garden",,0,,40.867108,-73.880317,,325,,liu1643 (2016-04-20 10:36:51),,georef batch tool 2016-04-20; GeoLocate,reviewed - high confidence,,,,,,,,,,,4/26/2016 14:46,63893,46,urn:uuid:5e4dcef1-d7e0-4e2d-a8ac-7fa1d9d7ef7a,https://mycoportal.org:443/portal/collections/individual/index.php?occid=3460164
774628,BPI,,,PreservedSpecimen,,BPI 081168,,Fungi,Fungi Incertae Sedis,Pucciniomycetes,Pucciniales,Pucciniaceae,Puccinia liliacearum,188324,Duby,Puccinia,liliacearum,,,Rogerson Clark T.; Cummins George B.,,,,,,,C. T. Rogerson,,,,5/1/1971,1971,5,1,121,,1971 MAY 01,,,leaves,Ornithogalum umbellatum,,,,,,,,,,Rust life stage o iii,,,,,,United States,New York,,,"Bronx Co. South Side of Parking, Lot at Botanical Garden Railroad Station, West of Main Entrance, of the New York Botanical Garden",,0,,,,,,,,,,,,,,,,,,,,preprocessed,9/3/2019 13:34,BPI 081168,24,urn:uuid:cacdd9c5-64ab-4cc3-8e81-19dd8a06e4d7,https://mycoportal.org:443/portal/collections/individual/index.php?occid=774628
7552945,NY,NY,,PreservedSpecimen,61fce8cc-2d3b-4abc-86af-550f81e77e0f,3407544,,Fungi,Fungi Incertae Sedis,Pucciniomycetes,Pucciniales,Pucciniaceae,Puccinia liliacearum,188324,Duby,Puccinia,liliacearum,,,,,,,,,,C. T. Rogerson,,,s.n.,5/1/1971,1971,5,1,12,12,1-May-71,,,,,,,,,,,,,,,,,,,packeted,United States of America,New York,Bronx Co.,,"south side of parking lot, at Botanical Garden Railroad Station, west of Moshulu Entrance of The New York Botanical Garden",,0,,,,,,,,,,,,,,,,,,,en,,2/9/2021 9:32,61fce8cc-2d3b-4abc-86af-550f81e77e0f,3,urn:uuid:9906a470-9022-4439-b411-e46e26c1ae28,https://mycoportal.org:443/portal/collections/individual/index.php?occid=7552945
7552946,NY,NY,,PreservedSpecimen,edfe9851-3c9d-4504-a7c2-0a09ae7fe14b,3407547,,Fungi,Fungi Incertae Sedis,Pucciniomycetes,Pucciniales,Pucciniaceae,Puccinia liliacearum,188324,Duby,Puccinia,liliacearum,,,,,,,,,,C. T. Rogerson,,,s.n.,5/1/1971,1971,5,1,12,12,1-May-71,,,,,,,,,,,,,,,,,,,packeted,United States of America,New York,Bronx Co.,,"Southside parking lot, east side Botanical Garden Station of Penn Central Rainroad opposite Bedford Blvd. entrance to the New York Botanical Garden",,0,,,,,,,,,,,,,,,,,,,en,,2/9/2021 9:32,edfe9851-3c9d-4504-a7c2-0a09ae7fe14b,3,urn:uuid:3198c6bf-8381-4c7c-ab5b-a48cff1e193d,https://mycoportal.org:443/portal/collections/individual/index.php?occid=7552946
7745380,NY,NY,,PreservedSpecimen,1cdd1bd5-49cb-49ee-8853-3e0d4989d831,3407546,,Fungi,Fungi Incertae Sedis,Pucciniomycetes,Pucciniales,Pucciniaceae,Puccinia liliacearum,188324,Duby,Puccinia,liliacearum,,,,,,,,,,C. T. Rogerson,,,s.n.,5/1/1971,1971,5,1,12,12,1-May-71,,,,,,,,,,,,,,,,,,,packeted,United States of America,New York,Bronx Co.,,"Bronx Park, along Bronx River, north of the The New York Botanical Garden",,0,,,,,,,,,,,,,,,,,,,en,,2/9/2021 9:32,1cdd1bd5-49cb-49ee-8853-3e0d4989d831,3,urn:uuid:dce14cdc-8c5d-450c-9766-d5c6802b036b,https://mycoportal.org:443/portal/collections/individual/index.php?occid=7745380
7552947,NY,NY,,PreservedSpecimen,ab62f7f1-2864-4d91-b7a8-c53cbbeaca26,3407550,,Fungi,Fungi Incertae Sedis,Pucciniomycetes,Pucciniales,Pucciniaceae,Puccinia liliacearum,188324,Duby,Puccinia,liliacearum,,,,,,,,,,C. T. Rogerson,,,s.n.,5/21/1971,1971,5,21,14,14,21-May-71,,,,,,,,,,,,,,,,,,,packeted,United States of America,New York,Bronx Co.,,"Southside parking lot, east side Botanical Garden Station of Penn Central Rainroad opposite Bedford Blvd. entrance to the New York Botanical Garden",,0,,,,,,,,,,,,,,,,,,,en,,2/9/2021 9:32,ab62f7f1-2864-4d91-b7a8-c53cbbeaca26,3,urn:uuid:f982ce8c-ebda-4d00-bacc-d3d071c2cfd7,https://mycoportal.org:443/portal/collections/individual/index.php?occid=7552947
7729666,NY,NY,,PreservedSpecimen,89e9f77f-0407-4acc-a759-fc381d1d4f8a,3407551,,Fungi,Fungi Incertae Sedis,Pucciniomycetes,Pucciniales,Pucciniaceae,Puccinia liliacearum,188324,Duby,Puccinia,liliacearum,,,,,,,,,,C. T. Rogerson,,,s.n.,5/22/1971,1971,5,22,14,14,22-May-71,,,,,,,,,,,,,,,,,,,packeted,United States of America,New York,Bronx Co.,,"woods, opposite Woodlawn Cemetery entrance in Van Cortlandt Park, north of Golf Course",,0,,40.892523,-73.874699,WGS84,1512,,,"Georeferencing Quick Reference Guide, Version 2012",Google Maps (map data 2019); Manis Georef. Calculator,,,,,,,,,,en,,2/9/2021 9:32,89e9f77f-0407-4acc-a759-fc381d1d4f8a,3,urn:uuid:2baadae3-311a-4a12-a9d6-6de523f8737b,https://mycoportal.org:443/portal/collections/individual/index.php?occid=7729666
7576141,NY,NY,,PreservedSpecimen,28b5474d-17cc-4c08-95fd-9f3ba06a201b,3407553,,Fungi,Fungi Incertae Sedis,Pucciniomycetes,Pucciniales,Pucciniaceae,Puccinia liliacearum,188324,Duby,Puccinia,liliacearum,,,,,,,,,,C. T. Rogerson,,,s.n.,4/11/1972,1972,4,11,10,10,11-Apr-72,,,,,,,,,,,,,,,,,,,packeted,United States of America,New York,Bronx Co.,,"near parking lot, Botanical Garden Station Penn-Central Railroad, west of gate of The New York Botanical Garden",,0,,,,,,,,,,,,,,,,,,,en,,2/9/2021 9:32,28b5474d-17cc-4c08-95fd-9f3ba06a201b,3,urn:uuid:715f4442-2b89-4f86-bcc8-d0b1db3a06e2,https://mycoportal.org:443/portal/collections/individual/index.php?occid=7576141
7576142,NY,NY,,PreservedSpecimen,d2a30202-c3d9-4886-8084-ec11ea81f8e3,3407549,,Fungi,Fungi Incertae Sedis,Pucciniomycetes,Pucciniales,Pucciniaceae,Puccinia liliacearum,188324,Duby,Puccinia,liliacearum,,,,,,,,,,C. T. Rogerson,,,s.n.,4/15/1972,1972,4,15,10,10,15-Apr-72,,,,,,,,,,,,,,,,,,,packeted,United States of America,New York,Bronx Co.,,"near parking lot, Botanical Garden Station Penn-Central Railroad, west of gate to The New York Botanical Garden",,0,,,,,,,,,,,,,,,,,,,en,,2/9/2021 9:32,d2a30202-c3d9-4886-8084-ec11ea81f8e3,3,urn:uuid:888175d7-fbe5-459e-8177-cdfdd0d868fe,https://mycoportal.org:443/portal/collections/individual/index.php?occid=7576142
7925048,NY,NY,,PreservedSpecimen,1eb3992a-7bf2-402e-9ead-9b50c6b35d14,3407545,,Fungi,Fungi Incertae Sedis,Pucciniomycetes,Pucciniales,Pucciniaceae,Puccinia liliacearum,188324,Duby,Puccinia,liliacearum,,,,,,,,,,C. T. Rogerson,,,s.n.,5/13/1973,1973,5,13,13,13,13-May-73,,,,,,,,,,,,,,,,,,,packeted,United States of America,New York,Kings Co.,Brooklyn,Prospect Park,,0,,40.661906,-73.968679,WGS84,1214,,,GEOLocate Web Application,GEOLocate (Tulane University Museum of Natural History),,,,,,,,,,en,,2/9/2021 9:32,1eb3992a-7bf2-402e-9ead-9b50c6b35d14,3,urn:uuid:3caf2394-ebc9-46f1-8e1f-0e8f059ee796,https://mycoportal.org:443/portal/collections/individual/index.php?occid=7925048
